year,sample,treatment_mode,employment_mode,control_spec,obs,coef,stderr,pval
2018,no_college,june_only,any_employed,covid,7981,0.015996034972250786,0.07885798355117439,0.8392553187927628
2018,no_college,june_only,any_employed,covid_stringency,7981,0.015996034972250744,0.07886296494681129,0.8392653337795344
2018,prime_age_no_college,june_only,any_employed,none,4396,0.13917279266600185,0.10398921584945038,0.18078604949754418
2018,prime_age_no_college,june_only,any_employed,covid,4396,0.13917279266600205,0.10400122037657265,0.1808363896153321
2018,prime_age_no_college,june_only,any_employed,covid_stringency,4396,0.13917279266600194,0.10401322906206696,0.18088674595439358
2021,all_ages,june_only,at_work_only,none,12620,-0.056479464873403246,0.04099243085019557,0.16826434050526884
2021,all_ages,june_only,at_work_only,covid,12620,-0.05645579475945554,0.04100923586610523,0.1686172394070241
2021,all_ages,june_only,at_work_only,covid_stringency,12620,-0.056267197516663224,0.04095127321449522,0.16944055952927584
2021,prime_age,june_only,at_work_only,none,7545,-0.08537292408272551,0.05156892731583143,0.09782089619655944
2021,prime_age,june_only,at_work_only,covid,7545,-0.08495185379873475,0.05146211942180496,0.09878661616945632
2021,prime_age,june_only,at_work_only,covid_stringency,7545,-0.08539871548476226,0.05144563550736801,0.09691851729051555
2021,no_college,june_only,at_work_only,none,9349,-0.025523257638257125,0.05131235570759506,0.6189002466459501
2021,no_college,june_only,at_work_only,covid,9349,-0.026208344987743663,0.051448498434585946,0.6104653396756409
2021,no_college,june_only,at_work_only,covid_stringency,9349,-0.02612305686189448,0.05141574774874199,0.6114007356715638
2021,prime_age_no_college,june_only,at_work_only,none,5529,-0.08953810047364377,0.0745585897280773,0.2297864036366536
2021,prime_age_no_college,june_only,at_work_only,covid,5529,-0.08903725715088374,0.07440000820474257,0.23140900450751167
2021,prime_age_no_college,june_only,at_work_only,covid_stringency,5529,-0.09015970162741585,0.07467262226744145,0.22727825152802383
2018,all_ages,june_only,at_work_only,none,10410,0.022585186860538183,0.06459960843065461,0.726625389275608
2018,all_ages,june_only,at_work_only,covid,10410,0.022585186860538092,0.06460273061757463,0.7266380716528107
2018,all_ages,june_only,at_work_only,covid_stringency,10410,0.02258518686053814,0.06460585325723693,0.7266507547179192
2018,prime_age,june_only,at_work_only,none,5937,0.14995577535123872,0.07998906673680642,0.06083353893663145
2018,prime_age,june_only,at_work_only,covid,5937,0.14995577535123883,0.07999587750498563,0.060855512441244215
2018,prime_age,june_only,at_work_only,covid_stringency,5937,0.14995577535123883,0.08000269001319509,0.060877494393199255
2018,no_college,june_only,at_work_only,none,7981,-0.028582982849071775,0.0732528016423372,0.6963912895583213
2018,no_college,june_only,at_work_only,covid,7981,-0.028582982849071854,0.0732574283785894,0.696409511185478
2018,no_college,june_only,at_work_only,covid_stringency,7981,-0.02858298284907187,0.07326205599164344,0.6964277341388325
2018,prime_age_no_college,june_only,at_work_only,none,4396,0.083353743090644,0.09915017740805242,0.400526256042845
2018,prime_age_no_college,june_only,at_work_only,covid,4396,0.0833537430906442,0.09916162331601652,0.4005806346541504
2018,prime_age_no_college,june_only,at_work_only,covid_stringency,4396,0.08335374309064404,0.09917307318884684,0.40063502398015827
2021,all_ages,all_early_exits,any_employed,none,12620,-0.0803456781553496,0.038084667456158815,0.03488770063853663
2021,all_ages,all_early_exits,any_employed,covid,12620,-0.08044619096626354,0.03817548399111729,0.03509386723134889
2021,all_ages,all_early_exits,any_employed,covid_stringency,12620,-0.08057944662774666,0.038081621701795534,0.034347632624182244
2021,prime_age,all_early_exits,any_employed,none,7545,-0.10650727942054322,0.05792309169873096,0.06594893082967408
2021,prime_age,all_early_exits,any_employed,covid,7545,-0.10585419199564139,0.057860190601736,0.06732739519223623
2021,prime_age,all_early_exits,any_employed,covid_stringency,7545,-0.10679473976195464,0.05779154958219721,0.06461246608841413
2021,no_college,all_early_exits,any_employed,none,9349,-0.07367677749097945,0.042755032709807586,0.08484684560745613
2021,no_college,all_early_exits,any_employed,covid,9349,-0.07479832373088915,0.04281803621208101,0.08065672689387492
2021,no_college,all_early_exits,any_employed,covid_stringency,9349,-0.074938448879043,0.042728169723705224,0.07945762330755683
2021,prime_age_no_college,all_early_exits,any_employed,none,5529,-0.12510631544015732,0.07898768303404455,0.11322303497329966
2021,prime_age_no_college,all_early_exits,any_employed,covid,5529,-0.12480595960130783,0.07866563184130071,0.11261747647334772
2021,prime_age_no_college,all_early_exits,any_employed,covid_stringency,5529,-0.12594931883772081,0.07882427489237827,0.11007650174407811
2018,all_ages,all_early_exits,any_employed,none,10410,0.025039987915081316,0.06279416990005957,0.6900678852305446
2018,all_ages,all_early_exits,any_employed,covid,10410,0.02503998791508141,0.06279720482768045,0.6900820867742439
2018,all_ages,all_early_exits,any_employed,covid_stringency,10410,0.025039987915081423,0.06280024019539024,0.690096289113497
2018,prime_age,all_early_exits,any_employed,none,5937,0.11747139639225482,0.08299819238652158,0.1569662379506659
2018,prime_age,all_early_exits,any_employed,covid,5937,0.11747139639225462,0.08300525937043192,0.1570015544008503
2018,prime_age,all_early_exits,any_employed,covid_stringency,5937,0.11747139639225476,0.08301232815983119,0.1570368798823962
2018,no_college,all_early_exits,any_employed,none,7981,-0.025259754336337335,0.06862202316542845,0.7127988055236956
2018,no_college,all_early_exits,any_employed,covid,7981,-0.025259754336337363,0.06862635741606729,0.7128161398790309
2018,no_college,all_early_exits,any_employed,covid_stringency,7981,-0.025259754336337353,0.0686306924880792,0.7128334754776401
2018,prime_age_no_college,all_early_exits,any_employed,none,4396,0.05982836418031966,0.09339379717936108,0.5217805280022894
2018,prime_age_no_college,all_early_exits,any_employed,covid,4396,0.05982836418031938,0.09340457857012485,0.5218285825860798
2018,prime_age_no_college,all_early_exits,any_employed,covid_stringency,4396,0.059828364180319525,0.09341536369556586,0.5218766449943677
2021,all_ages,all_early_exits,at_work_only,none,12620,-0.062322754050641985,0.041747559291127063,0.13547701916278274
2021,all_ages,all_early_exits,at_work_only,covid,12620,-0.06240713263111276,0.04179122961134574,0.13535686340383277
2021,all_ages,all_early_exits,at_work_only,covid_stringency,12620,-0.06250020015718731,0.04176594448418385,0.13453921828506457
2021,prime_age,all_early_exits,at_work_only,none,7545,-0.08451805660687595,0.050186339711021856,0.09216526324862503
2021,prime_age,all_early_exits,at_work_only,covid,7545,-0.08396594175913785,0.05011986088678357,0.09387484231092691
2021,prime_age,all_early_exits,at_work_only,covid_stringency,7545,-0.08447687077340074,0.050057739535923934,0.09149022836577876
2021,no_college,all_early_exits,at_work_only,none,9349,-0.056333132630523766,0.04944386266466638,0.25456337656813555
2021,no_college,all_early_exits,at_work_only,covid,9349,-0.057365878776671646,0.04945086716581107,0.24602515380667234
2021,no_college,all_early_exits,at_work_only,covid_stringency,9349,-0.0574733548350079,0.04943899386731214,0.2450281181358661
2021,prime_age_no_college,all_early_exits,at_work_only,none,5529,-0.11506567485982623,0.07243456129089709,0.11216279608617709
2021,prime_age_no_college,all_early_exits,at_work_only,covid,5529,-0.11480602970294108,0.07203757703246766,0.11100404310822283
2021,prime_age_no_college,all_early_exits,at_work_only,covid_stringency,5529,-0.11572338891327114,0.07221886034865847,0.10906753034644656
2018,all_ages,all_early_exits,at_work_only,none,10410,-0.0030713084123793997,0.05660915122272915,0.9567322982896692
2018,all_ages,all_early_exits,at_work_only,covid,10410,-0.0030713084123793373,0.056611887219986695,0.9567343873246705
2018,all_ages,all_early_exits,at_work_only,covid_stringency,10410,-0.003071308412379313,0.05661462361398592,0.9567364764609393
2018,prime_age,all_early_exits,at_work_only,none,5937,0.08588943047326456,0.07402134459342775,0.24591313477716636
2018,prime_age,all_early_exits,at_work_only,covid,5937,0.08588943047326442,0.0740276472325121,0.24595334300564398
2018,prime_age,all_early_exits,at_work_only,covid_stringency,5937,0.08588943047326456,0.0740339514818088,0.24599355926747568
2018,no_college,all_early_exits,at_work_only,none,7981,-0.056439057122878444,0.06409840836719444,0.3785850537943949
2018,no_college,all_early_exits,at_work_only,covid,7981,-0.056439057122878555,0.06410245690080793,0.3786151667835358
2018,no_college,all_early_exits,at_work_only,covid_stringency,7981,-0.05643905712287855,0.06410650620164904,0.3786452831493422
2018,prime_age_no_college,all_early_exits,at_work_only,none,4396,0.02834596766735338,0.08648146430903128,0.7430861130153061
2018,prime_age_no_college,all_early_exits,at_work_only,covid,4396,0.028345967667353127,0.08649144773928787,0.7431147211086127
2018,prime_age_no_college,all_early_exits,at_work_only,covid_stringency,4396,0.02834596766735326,0.08650143462780793,0.7431433328595993
